date,text,clean_text,sentiment
2025-01-23,"Wow, what a great experience, highly recommend to everyone! #happy",wow what a great experience highly recommend to everyone happy,positive
2025-01-24,Totally not worth the money. Very dissatisfied. #waste,totally not worth the money very dissatisfied waste,neutral
2025-01-25,Fantastic event! Well organized and lots of fun. #memorable,fantastic event well organized and lots of fun memorable,positive
2025-01-26,"Horrible support team, worst experience ever. #angry",horrible support team worst experience ever angry,negative
2025-01-27,"This new feature is amazing, made my life easier. #thankful",this new feature is amazing made my life easier thankful,positive
2025-01-28,Not impressed with the updates. Expected better. #meh,not impressed with the updates expected better meh,neutral
2025-01-29,Enjoyed every moment using the product. #satisfied,enjoyed every moment using the product satisfied,positive
2025-01-30,Worst customer service in history. #frustrated,worst customer service in history frustrated,negative
2025-01-31,I love the new product launch! So innovative and fresh! #excited,i love the new product launch so innovative and fresh excited,positive
2025-02-01,"The service was terrible, I'm never coming back. #disappointed",the service was terrible im never coming back disappointed,negative
2025-02-02,"Wow, what a great experience, highly recommend to everyone! #happy",wow what a great experience highly recommend to everyone happy,positive
2025-02-03,Totally not worth the money. Very dissatisfied. #waste,totally not worth the money very dissatisfied waste,neutral
2025-02-04,Fantastic event! Well organized and lots of fun. #memorable,fantastic event well organized and lots of fun memorable,positive
2025-02-05,"Horrible support team, worst experience ever. #angry",horrible support team worst experience ever angry,negative
2025-02-06,"This new feature is amazing, made my life easier. #thankful",this new feature is amazing made my life easier thankful,positive
2025-02-07,Not impressed with the updates. Expected better. #meh,not impressed with the updates expected better meh,neutral
2025-02-08,Enjoyed every moment using the product. #satisfied,enjoyed every moment using the product satisfied,positive
2025-02-09,Worst customer service in history. #frustrated,worst customer service in history frustrated,negative
2025-02-10,I love the new product launch! So innovative and fresh! #excited,i love the new product launch so innovative and fresh excited,positive
2025-02-11,"The service was terrible, I'm never coming back. #disappointed",the service was terrible im never coming back disappointed,negative
2025-02-12,"Wow, what a great experience, highly recommend to everyone! #happy",wow what a great experience highly recommend to everyone happy,positive
2025-02-13,Totally not worth the money. Very dissatisfied. #waste,totally not worth the money very dissatisfied waste,neutral
2025-02-14,Fantastic event! Well organized and lots of fun. #memorable,fantastic event well organized and lots of fun memorable,positive
2025-02-15,"Horrible support team, worst experience ever. #angry",horrible support team worst experience ever angry,negative
2025-02-16,"This new feature is amazing, made my life easier. #thankful",this new feature is amazing made my life easier thankful,positive
2025-02-17,Not impressed with the updates. Expected better. #meh,not impressed with the updates expected better meh,neutral
2025-02-18,Enjoyed every moment using the product. #satisfied,enjoyed every moment using the product satisfied,positive
2025-02-19,Worst customer service in history. #frustrated,worst customer service in history frustrated,negative
2025-02-20,I love the new product launch! So innovative and fresh! #excited,i love the new product launch so innovative and fresh excited,positive
2025-02-21,"The service was terrible, I'm never coming back. #disappointed",the service was terrible im never coming back disappointed,negative
2025-02-22,"Wow, what a great experience, highly recommend to everyone! #happy",wow what a great experience highly recommend to everyone happy,positive
2025-02-23,Totally not worth the money. Very dissatisfied. #waste,totally not worth the money very dissatisfied waste,neutral
2025-02-24,Fantastic event! Well organized and lots of fun. #memorable,fantastic event well organized and lots of fun memorable,positive
2025-02-25,"Horrible support team, worst experience ever. #angry",horrible support team worst experience ever angry,negative
2025-02-26,"This new feature is amazing, made my life easier. #thankful",this new feature is amazing made my life easier thankful,positive
2025-02-27,Not impressed with the updates. Expected better. #meh,not impressed with the updates expected better meh,neutral
2025-02-28,Enjoyed every moment using the product. #satisfied,enjoyed every moment using the product satisfied,positive
2025-03-01,Worst customer service in history. #frustrated,worst customer service in history frustrated,negative
2025-03-02,I love the new product launch! So innovative and fresh! #excited,i love the new product launch so innovative and fresh excited,positive
2025-03-03,"The service was terrible, I'm never coming back. #disappointed",the service was terrible im never coming back disappointed,negative
2025-03-04,"Wow, what a great experience, highly recommend to everyone! #happy",wow what a great experience highly recommend to everyone happy,positive
2025-03-05,Totally not worth the money. Very dissatisfied. #waste,totally not worth the money very dissatisfied waste,neutral
2025-03-06,Fantastic event! Well organized and lots of fun. #memorable,fantastic event well organized and lots of fun memorable,positive
2025-03-07,"Horrible support team, worst experience ever. #angry",horrible support team worst experience ever angry,negative
2025-03-08,"This new feature is amazing, made my life easier. #thankful",this new feature is amazing made my life easier thankful,positive
2025-03-09,Not impressed with the updates. Expected better. #meh,not impressed with the updates expected better meh,neutral
2025-03-10,Enjoyed every moment using the product. #satisfied,enjoyed every moment using the product satisfied,positive
2025-03-11,Worst customer service in history. #frustrated,worst customer service in history frustrated,negative
2025-03-12,I love the new product launch! So innovative and fresh! #excited,i love the new product launch so innovative and fresh excited,positive
2025-03-13,"The service was terrible, I'm never coming back. #disappointed",the service was terrible im never coming back disappointed,negative
2025-03-14,"Wow, what a great experience, highly recommend to everyone! #happy",wow what a great experience highly recommend to everyone happy,positive
2025-03-15,Totally not worth the money. Very dissatisfied. #waste,totally not worth the money very dissatisfied waste,neutral
2025-03-16,Fantastic event! Well organized and lots of fun. #memorable,fantastic event well organized and lots of fun memorable,positive
2025-03-17,"Horrible support team, worst experience ever. #angry",horrible support team worst experience ever angry,negative
2025-03-18,"This new feature is amazing, made my life easier. #thankful",this new feature is amazing made my life easier thankful,positive
2025-03-19,Not impressed with the updates. Expected better. #meh,not impressed with the updates expected better meh,neutral
2025-03-20,Enjoyed every moment using the product. #satisfied,enjoyed every moment using the product satisfied,positive
2025-03-21,Worst customer service in history. #frustrated,worst customer service in history frustrated,negative
2025-03-22,I love the new product launch! So innovative and fresh! #excited,i love the new product launch so innovative and fresh excited,positive
2025-03-23,"The service was terrible, I'm never coming back. #disappointed",the service was terrible im never coming back disappointed,negative
2025-03-24,"Wow, what a great experience, highly recommend to everyone! #happy",wow what a great experience highly recommend to everyone happy,positive
2025-03-25,Totally not worth the money. Very dissatisfied. #waste,totally not worth the money very dissatisfied waste,neutral
2025-03-26,Fantastic event! Well organized and lots of fun. #memorable,fantastic event well organized and lots of fun memorable,positive
2025-03-27,"Horrible support team, worst experience ever. #angry",horrible support team worst experience ever angry,negative
2025-03-28,"This new feature is amazing, made my life easier. #thankful",this new feature is amazing made my life easier thankful,positive
2025-03-29,Not impressed with the updates. Expected better. #meh,not impressed with the updates expected better meh,neutral
2025-03-30,Enjoyed every moment using the product. #satisfied,enjoyed every moment using the product satisfied,positive
2025-03-31,Worst customer service in history. #frustrated,worst customer service in history frustrated,negative
2025-04-01,I love the new product launch! So innovative and fresh! #excited,i love the new product launch so innovative and fresh excited,positive
2025-04-02,"The service was terrible, I'm never coming back. #disappointed",the service was terrible im never coming back disappointed,negative
2025-04-03,"Wow, what a great experience, highly recommend to everyone! #happy",wow what a great experience highly recommend to everyone happy,positive
2025-04-04,Totally not worth the money. Very dissatisfied. #waste,totally not worth the money very dissatisfied waste,neutral
2025-04-05,Fantastic event! Well organized and lots of fun. #memorable,fantastic event well organized and lots of fun memorable,positive
2025-04-06,"Horrible support team, worst experience ever. #angry",horrible support team worst experience ever angry,negative
2025-04-07,"This new feature is amazing, made my life easier. #thankful",this new feature is amazing made my life easier thankful,positive
2025-04-08,Not impressed with the updates. Expected better. #meh,not impressed with the updates expected better meh,neutral
2025-04-09,Enjoyed every moment using the product. #satisfied,enjoyed every moment using the product satisfied,positive
2025-04-10,Worst customer service in history. #frustrated,worst customer service in history frustrated,negative
